"","type","votes","average","ep","guests","user_rating","user_votes","avg_vote"
"2128","Females Aged 30-44"," 4"," 8.2",8.7,"Drew Barrymore/Squeeze",7.6,36,"7.6"
"2129","Aged 45+"," 11"," 8.2",8.7,"Drew Barrymore/Squeeze",7.6,36,"7.6"
"2130","Males Aged 45+"," 11"," 8.2",8.7,"Drew Barrymore/Squeeze",7.6,36,"7.6"
"2131","Top 1000 voters"," 11"," 6.8",8.7,"Drew Barrymore/Squeeze",7.6,36,"7.6"
"2132","US users"," 21"," 7.6",8.7,"Drew Barrymore/Squeeze",7.6,36,"7.6"
"2133","Non-US users"," 8"," 6.6",8.7,"Drew Barrymore/Squeeze",7.6,36,"7.6"
"2134","IMDb users"," 36"," 7.6",8.7,"Drew Barrymore/Squeeze",7.6,36,"7.6"
"2135","Males"," 22"," 7.1",8.8,"Tom & Dick Smothers/Laura Branigan",7.2,25,"7.2"
"2136","Females"," 1"," 5.0",8.8,"Tom & Dick Smothers/Laura Branigan",7.2,25,"7.2"
"2137","Aged 18-29"," 3"," 8.0",8.8,"Tom & Dick Smothers/Laura Branigan",7.2,25,"7.2"
"2138","Males Aged 18-29"," 3"," 8.0",8.8,"Tom & Dick Smothers/Laura Branigan",7.2,25,"7.2"
"2139","Aged 30-44"," 6"," 6.0",8.8,"Tom & Dick Smothers/Laura Branigan",7.2,25,"7.2"
"2140","Males Aged 30-44"," 5"," 6.2",8.8,"Tom & Dick Smothers/Laura Branigan",7.2,25,"7.2"
"2141","Females Aged 30-44"," 1"," 5.0",8.8,"Tom & Dick Smothers/Laura Branigan",7.2,25,"7.2"
"2142","Aged 45+"," 14"," 7.3",8.8,"Tom & Dick Smothers/Laura Branigan",7.2,25,"7.2"
"2143","Males Aged 45+"," 14"," 7.3",8.8,"Tom & Dick Smothers/Laura Branigan",7.2,25,"7.2"
"2144","Top 1000 voters"," 11"," 6.1",8.8,"Tom & Dick Smothers/Laura Branigan",7.2,25,"7.2"
"2145","US users"," 17"," 6.9",8.8,"Tom & Dick Smothers/Laura Branigan",7.2,25,"7.2"
"2146","Non-US users"," 4"," 8.0",8.8,"Tom & Dick Smothers/Laura Branigan",7.2,25,"7.2"
"2147","IMDb users"," 25"," 7.2",8.8,"Tom & Dick Smothers/Laura Branigan",7.2,25,"7.2"
"2148","Males"," 27"," 8.1",8.9,"Eddie Murphy/Lionel Richie",7.9,32,"7.9"
"2149","Females"," 1"," 6.0",8.9,"Eddie Murphy/Lionel Richie",7.9,32,"7.9"
"2150","Aged 18-29"," 6"," 8.5",8.9,"Eddie Murphy/Lionel Richie",7.9,32,"7.9"
"2151","Males Aged 18-29"," 5"," 8.4",8.9,"Eddie Murphy/Lionel Richie",7.9,32,"7.9"
"2152","Aged 30-44"," 10"," 7.8",8.9,"Eddie Murphy/Lionel Richie",7.9,32,"7.9"
"2153","Males Aged 30-44"," 8"," 8.0",8.9,"Eddie Murphy/Lionel Richie",7.9,32,"7.9"
"2154","Females Aged 30-44"," 1"," 6.0",8.9,"Eddie Murphy/Lionel Richie",7.9,32,"7.9"
"2155","Aged 45+"," 14"," 8.0",8.9,"Eddie Murphy/Lionel Richie",7.9,32,"7.9"
"2156","Males Aged 45+"," 14"," 8.0",8.9,"Eddie Murphy/Lionel Richie",7.9,32,"7.9"
"2157","Top 1000 voters"," 12"," 7.8",8.9,"Eddie Murphy/Lionel Richie",7.9,32,"7.9"
"2158","US users"," 21"," 7.9",8.9,"Eddie Murphy/Lionel Richie",7.9,32,"7.9"
"2159","Non-US users"," 5"," 8.6",8.9,"Eddie Murphy/Lionel Richie",7.9,32,"7.9"
"2160","IMDb users"," 32"," 7.9",8.9,"Eddie Murphy/Lionel Richie",7.9,32,"7.9"
"2161","Males"," 16"," 7.1",8.1,"Lily Tomlin",6.7,22,"6.7"
"2162","Females"," 2"," 7.0",8.1,"Lily Tomlin",6.7,22,"6.7"
"2163","Aged 18-29"," 3"," 7.0",8.1,"Lily Tomlin",6.7,22,"6.7"
"2164","Males Aged 18-29"," 2"," 7.0",8.1,"Lily Tomlin",6.7,22,"6.7"
"2165","Females Aged 18-29"," 1"," 7.0",8.1,"Lily Tomlin",6.7,22,"6.7"
"2166","Aged 30-44"," 6"," 6.4",8.1,"Lily Tomlin",6.7,22,"6.7"
"2167","Males Aged 30-44"," 5"," 6.2",8.1,"Lily Tomlin",6.7,22,"6.7"
"2168","Females Aged 30-44"," 1"," 7.0",8.1,"Lily Tomlin",6.7,22,"6.7"
"2169","Aged 45+"," 9"," 7.6",8.1,"Lily Tomlin",6.7,22,"6.7"
"2170","Males Aged 45+"," 9"," 7.6",8.1,"Lily Tomlin",6.7,22,"6.7"
"2171","Top 1000 voters"," 12"," 6.1",8.1,"Lily Tomlin",6.7,22,"6.7"
"2172","US users"," 15"," 7.1",8.1,"Lily Tomlin",6.7,22,"6.7"
"2173","Non-US users"," 2"," 7.0",8.1,"Lily Tomlin",6.7,22,"6.7"
"2174","IMDb users"," 22"," 6.7",8.1,"Lily Tomlin",6.7,22,"6.7"
"2175","Males"," 22"," 7.7",8.11,"Rick Moranis and Dave Thomas/The Bus Boys",7.6,24,"7.6"
"2176","Females"," 1"," 7.0",8.11,"Rick Moranis and Dave Thomas/The Bus Boys",7.6,24,"7.6"
"2177","Aged 18-29"," 3"," 8.0",8.11,"Rick Moranis and Dave Thomas/The Bus Boys",7.6,24,"7.6"
"2178","Males Aged 18-29"," 3"," 8.0",8.11,"Rick Moranis and Dave Thomas/The Bus Boys",7.6,24,"7.6"
"2179","Aged 30-44"," 6"," 5.9",8.11,"Rick Moranis and Dave Thomas/The Bus Boys",7.6,24,"7.6"
"2180","Males Aged 30-44"," 5"," 5.7",8.11,"Rick Moranis and Dave Thomas/The Bus Boys",7.6,24,"7.6"
"2181","Females Aged 30-44"," 1"," 7.0",8.11,"Rick Moranis and Dave Thomas/The Bus Boys",7.6,24,"7.6"
"2182","Aged 45+"," 14"," 8.2",8.11,"Rick Moranis and Dave Thomas/The Bus Boys",7.6,24,"7.6"
"2183","Males Aged 45+"," 14"," 8.2",8.11,"Rick Moranis and Dave Thomas/The Bus Boys",7.6,24,"7.6"
"2184","Top 1000 voters"," 9"," 7.3",8.11,"Rick Moranis and Dave Thomas/The Bus Boys",7.6,24,"7.6"
"2185","US users"," 19"," 7.7",8.11,"Rick Moranis and Dave Thomas/The Bus Boys",7.6,24,"7.6"
"2186","Non-US users"," 3"," 7.7",8.11,"Rick Moranis and Dave Thomas/The Bus Boys",7.6,24,"7.6"
